model_order,regularity_label_readable,dependency_readable,emmean,SE,df,lower.CL,upper.CL
2-gram,100% regular,Adjacent,1.002114739535375,2.9773331495528966e-4,174,1.0015271058403177,1.0027023732304325
2-gram,80% regular,Adjacent,1.7152224807751517,0.009723192147514976,174,1.696031899666498,1.7344130618838054
2-gram,60% regular,Adjacent,1.9763024863085399,0.0029371468145692127,174,1.9705054647833178,1.982099507833762
2-gram,100% regular,Non-adjacent,2.0054111886520056,9.76773013843514e-4,174,2.003483340115998,2.007339037188013
2-gram,80% regular,Non-adjacent,2.0069924024421737,0.00111649884991531,174,2.0047887782195986,2.009196026664749
2-gram,60% regular,Non-adjacent,2.005399007528196,0.0013203973665464426,174,2.0027929505487667,2.0080050645076253
3-gram,100% regular,Adjacent,1.0081426589546842,6.530560887126727e-4,174,1.0068537277427114,1.009431590166657
3-gram,80% regular,Adjacent,1.7221928117529912,0.009908686104835107,174,1.7026361228086482,1.7417495006973343
3-gram,60% regular,Adjacent,1.9851476206669547,0.003602634284799503,174,1.9780371322184742,1.9922581091154352
3-gram,100% regular,Non-adjacent,2.0229654260246175,0.0019709629256290254,174,2.019075353370227,2.026855498679008
3-gram,80% regular,Non-adjacent,2.0224735391689586,0.0019195385045375575,174,2.0186849624542704,2.0262621158836467
3-gram,60% regular,Non-adjacent,2.021086170536015,0.0018906599113084747,174,2.0173545912535755,2.0248177498184545
