analysis,model_order,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
final_block_factor,2-gram,(Intercept),1.002114739535375,2.9773331495528966e-4,3365.813260386604,174,0,1.0015271058403177,1.0027023732304325
final_block_factor,2-gram,regularity_label_readable80% regular,0.7131077412397766,0.009727749516940255,73.30654844658007,174,9.480160127846892e-133,0.6939081652901004,0.7323073171894529
final_block_factor,2-gram,regularity_label_readable60% regular,0.9741877467731648,0.002952198593788765,329.9871996493707,174,2.6936892347380283e-245,0.9683610176801439,0.9800144758661856
final_block_factor,2-gram,dependency_readableNon-adjacent,1.0032964491166307,0.0010211418351077442,982.5240868823767,174,0,1.0012810302179018,1.0053118680153597
final_block_factor,2-gram,regularity_label_readable80% regular:dependency_readableNon-adjacent,-0.7115265274496086,0.009840211677945068,-72.30805095833027,174,9.559330427293941e-132,-0.7309480690037565,-0.6921049858954608
final_block_factor,2-gram,regularity_label_readable60% regular:dependency_readableNon-adjacent,-0.9741999278969747,0.0033783148555639455,-288.36860078109873,174,3.975122941939067e-235,-0.980867679008202,-0.9675321767857474
final_block_factor,3-gram,(Intercept),1.0081426589546842,6.530560887126727e-4,1543.7305866667145,174,0,1.0068537277427114,1.009431590166657
final_block_factor,3-gram,regularity_label_readable80% regular,0.7140501527983069,0.009930183411153957,71.90704574461925,174,2.438613145833499e-131,0.6944510348045045,0.7336492707921092
final_block_factor,3-gram,regularity_label_readable60% regular,0.9770049617122704,0.0036613462066591783,266.8430972016016,174,2.8092719805399202e-229,0.9697785940462038,0.9842313293783369
final_block_factor,3-gram,dependency_readableNon-adjacent,1.0148227670699335,0.0020763374266262254,488.75618868889086,174,6.017501834640577e-275,1.010724717664956,1.0189208164749108
final_block_factor,3-gram,regularity_label_readable80% regular:dependency_readableNon-adjacent,-0.7145420396539661,0.010304264432930848,-69.34430344881284,174,1.0902736987893415e-128,-0.7348794781582246,-0.6942046011497076
final_block_factor,3-gram,regularity_label_readable60% regular:dependency_readableNon-adjacent,-0.9788842172008732,0.004567794413001811,-214.3012860680788,174,9.299148860033523e-213,-0.9878996339323804,-0.9698688004693659
