model_order,contrast,dependency_readable,estimate,SE,df,t.ratio,p.value
2-gram,100% regular - 80% regular,Adjacent,-0.7131077412397766,0.009727749516940255,174,-73.30654844658007,0
2-gram,100% regular - 60% regular,Adjacent,-0.9741877467731648,0.002952198593788765,174,-329.9871996493707,0
2-gram,80% regular - 60% regular,Adjacent,-0.26108000553338817,0.010157130350046265,174,-25.704110958091523,0
2-gram,100% regular - 80% regular,Non-adjacent,-0.0015812137901679568,0.001483460549672679,174,-1.0658954095657258,0.5365149759819594
2-gram,100% regular - 60% regular,Non-adjacent,1.218112380996228e-5,0.0016424173422597914,174,0.00741658255580908,0.9999696742386239
2-gram,80% regular - 60% regular,Non-adjacent,0.001593394913977919,0.0017291671080161756,174,0.9214811608381656,0.627468474260466
3-gram,100% regular - 80% regular,Adjacent,-0.7140501527983069,0.009930183411153957,174,-71.90704574461925,0
3-gram,100% regular - 60% regular,Adjacent,-0.9770049617122704,0.0036613462066591783,174,-266.8430972016016,0
3-gram,80% regular - 60% regular,Adjacent,-0.2629548089139635,0.010543293323917586,174,-24.94048119836023,0
3-gram,100% regular - 80% regular,Non-adjacent,4.918868556592626e-4,0.0027512402520693128,174,0.1787873142991768,0.9825341405395513
3-gram,100% regular - 60% regular,Non-adjacent,0.0018792554886027935,0.0027311700339658616,174,0.6880770751112757,0.7707625897391004
3-gram,80% regular - 60% regular,Non-adjacent,0.0013873686329435309,0.002694294521879755,174,0.5149283501402778,0.8641745204359451
